num_bikes_available,num_docks_disabled,is_returning,station_id,last_reported,num_ebikes_available,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,num_bikes_disabled,station_status,is_renting
11,0,1,3,1666013258,0,3,False,1,4,0,active,1
0,0,1,4,1666013576,0,4,False,1,16,3,active,1
7,0,1,5,1666013239,0,5,False,1,8,0,active,1
4,0,1,6,1666013663,0,6,False,1,11,0,active,1
13,0,1,7,1666011581,0,7,False,1,1,1,active,1
0,0,1,8,1666013031,0,8,False,1,18,1,active,1
13,0,1,9,1666013674,0,9,False,1,2,0,active,1
11,0,1,10,1666012637,0,10,False,1,0,0,active,1
3,0,1,11,1666013416,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],11,False,"{'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 57, 'region': 'BOS', 'dock_blocked_count': 0, 'active': True, 'valet_revision': 43305}",1,10,2,active,1
24,1,1,12,1666013736,0,12,False,1,0,1,active,1
18,0,1,13,1666012047,0,13,False,1,0,1,active,1
25,0,1,14,1666011550,0,14,False,1,0,0,active,1
2,0,1,15,1666013413,0,15,False,1,13,0,active,1
3,0,1,16,1666013673,0,16,False,1,16,0,active,1
4,0,1,17,1666013455,0,17,False,1,11,0,active,1
4,0,1,19,1666012686,0,19,False,1,10,1,active,1
16,1,1,20,1666012915,0,20,False,1,3,3,active,1
4,1,1,21,1666013245,0,21,False,1,13,0,active,1
3,0,1,22,1666013055,0,22,False,1,40,4,active,1
11,0,1,23,1666012933,0,23,False,1,14,0,active,1
14,0,1,24,1666013638,0,24,False,1,5,0,active,1
0,0,1,25,1666012233,0,25,False,1,14,1,active,1
4,0,1,26,1666011800,0,26,False,1,10,1,active,1
0,0,1,27,1666010342,0,27,False,1,22,1,active,1
14,0,1,29,1666013749,0,29,False,1,5,0,active,1
11,0,1,30,1666013677,0,30,False,1,2,2,active,1
2,0,1,31,1666012091,0,31,False,1,17,0,active,1
13,0,1,32,1666013040,0,32,False,1,2,0,active,1
11,2,1,33,1666012771,0,33,False,1,13,1,active,1
31,0,1,35,1666012693,0,35,False,1,0,0,active,1
17,1,1,36,1666013511,0,36,False,1,14,0,active,1
3,1,1,37,1666013431,0,37,False,1,11,0,active,1
5,0,1,39,1666012646,0,39,False,1,19,3,active,1
6,0,1,40,1666013716,0,40,False,1,10,3,active,1
0,0,1,41,1666012320,0,41,False,1,25,2,active,1
28,0,1,42,1666013706,0,42,False,1,2,1,active,1
13,0,1,43,1666009095,0,43,False,1,0,1,active,1
13,0,1,44,1666013493,0,44,False,1,9,1,active,1
4,1,1,46,1666013694,0,46,False,1,13,1,active,1
0,0,1,47,1666008918,0,47,False,1,18,1,active,1
17,0,1,48,1666013227,0,48,False,1,2,0,active,1
0,0,1,49,1666011781,0,49,False,1,16,1,active,1
7,2,1,50,1666013662,0,50,False,1,6,0,active,1
10,0,1,51,1666013732,0,51,False,1,4,1,active,1
11,0,1,52,1666013520,0,52,False,1,12,0,active,1
0,0,1,53,1666012949,0,53,False,1,19,0,active,1
9,0,1,54,1666013722,0,54,False,1,5,1,active,1
12,0,1,55,1666013602,0,55,False,1,0,3,active,1
6,1,1,56,1666013549,0,56,True,1,11,0,active,1
0,0,1,57,1666009333,0,57,False,1,14,0,active,1
16,0,1,58,1666012555,0,58,False,1,0,3,active,1
8,1,1,59,1666012037,0,59,False,1,9,1,active,1
10,0,1,60,1666013001,0,60,False,1,7,2,active,1
0,3,0,61,1659539117,0,61,False,0,0,0,out_of_service,0
9,0,1,63,1666013586,0,63,False,1,4,2,active,1
9,0,1,64,1666012899,0,64,False,1,10,0,active,1
17,0,1,65,1666012093,0,65,False,1,6,0,active,1
0,0,1,66,1666011280,0,66,False,1,14,1,active,1
25,0,1,67,1666013708,0,67,False,1,0,2,active,1
1,0,1,68,1666013557,0,68,False,1,16,2,active,1
0,0,1,69,1666010317,0,69,False,1,19,0,active,1
11,0,1,70,1666012377,0,70,False,1,9,3,active,1
3,0,1,71,1666013182,0,71,False,1,17,3,active,1
13,0,1,72,1666013653,0,72,False,1,10,0,active,1
6,0,1,73,1666013341,0,73,False,1,8,1,active,1
12,0,1,74,1666013678,0,74,False,1,5,2,active,1
0,0,1,75,1666010640,0,75,False,1,15,0,active,1
0,1,1,76,1666011495,0,76,False,1,16,0,active,1
11,0,1,77,1666011099,0,77,False,1,8,0,active,1
5,0,1,78,1666013580,0,78,False,1,13,1,active,1
3,0,1,79,1666012709,0,79,False,1,15,1,active,1
33,0,1,80,1666011850,0,80,False,1,0,2,active,1
7,0,1,81,1666012920,0,81,False,1,11,1,active,1
