last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_bikes_available,eightd_has_available_keys,num_docks_available,station_id,station_status,is_returning,num_docks_disabled,is_renting,legacy_id
1670205588,1,0,0,12,False,3,3,active,1,0,1,3
1670211362,1,1,0,8,False,10,4,active,1,0,1,4
86400,0,0,0,0,False,0,5,out_of_service,0,0,0,5
1670206457,1,0,0,9,False,6,6,active,1,0,1,6
1670190435,1,0,0,10,False,5,7,active,1,0,1,7
1670215726,1,0,0,14,False,5,8,active,1,0,1,8
1670212862,1,1,0,3,False,11,9,active,1,0,1,9
1670210543,1,0,0,0,False,11,10,active,1,0,1,10
1670211428,1,2,0,5,False,8,11,active,1,0,1,11
1670219297,1,2,0,11,False,12,12,active,1,1,1,12
1670200320,1,0,0,1,False,18,13,active,1,0,1,13
1670212842,1,1,0,1,False,23,14,active,1,0,1,14
1670208717,1,0,0,10,False,5,15,active,1,0,1,15
1670211171,1,2,0,7,False,10,16,active,1,0,1,16
1670218577,1,0,0,12,False,3,17,active,1,0,1,17
1670212983,1,0,0,3,False,12,19,active,1,0,1,19
1670214436,1,1,0,10,False,12,20,active,1,0,1,20
1670218358,1,1,0,10,False,7,21,active,1,0,1,21
1670219795,1,0,0,8,False,39,22,active,1,0,1,22
1670213391,1,0,0,10,False,15,23,active,1,0,1,23
1670210082,1,1,0,13,False,5,24,active,1,0,1,24
1670211571,1,1,0,5,False,9,25,active,1,0,1,25
1670212522,1,0,0,9,False,6,26,active,1,0,1,26
1670216576,1,6,0,6,False,11,27,active,1,0,1,27
1670216652,1,1,0,7,False,11,29,active,1,0,1,29
1670217835,1,0,0,3,False,12,30,active,1,0,1,30
1670205839,1,0,0,6,False,13,31,active,1,0,1,31
1670219876,1,1,0,12,False,2,32,active,1,0,1,32
1670216110,1,2,0,22,False,2,33,active,1,0,1,33
86400,0,0,0,0,False,0,35,out_of_service,0,0,0,35
1670217056,1,1,0,24,False,8,36,active,1,0,1,36
1670211360,1,0,0,3,False,11,37,active,1,1,1,37
1670212309,1,4,0,13,False,10,39,active,1,0,1,39
1670208436,1,2,0,8,False,9,40,active,1,0,1,40
1670219248,1,0,0,9,False,18,41,active,1,0,1,41
1670198459,1,1,0,1,False,12,43,active,1,0,1,43
1670199086,1,0,0,1,False,22,44,active,1,0,1,44
1670217033,1,2,0,13,False,4,46,active,1,0,1,46
1670216503,1,1,0,6,False,12,47,active,1,0,1,47
86400,0,0,0,0,False,0,48,out_of_service,0,0,0,48
1670209576,1,0,0,12,True,5,49,active,1,0,1,49
1670209731,1,1,0,14,False,0,50,active,1,0,1,50
1670210538,1,0,0,7,False,8,51,active,1,0,1,51
86400,0,0,0,0,False,0,52,out_of_service,0,0,0,52
86400,0,0,0,0,False,0,53,out_of_service,0,0,0,53
1670219537,1,3,0,3,False,9,54,active,1,0,1,54
1670217146,1,1,0,10,False,4,55,active,1,0,1,55
1670208310,1,2,0,3,True,13,56,active,1,0,1,56
86400,0,0,0,0,False,0,57,out_of_service,0,0,0,57
1670215154,1,1,0,16,False,2,58,active,1,0,1,58
1670212643,1,0,0,9,False,10,59,active,1,0,1,59
1670215177,1,0,0,4,False,14,60,active,1,1,1,60
1670210579,1,0,0,17,False,2,61,active,1,0,1,61
1670214184,1,0,0,4,False,11,63,active,1,0,1,63
86400,0,0,0,0,False,0,64,out_of_service,0,0,0,64
1670184115,1,2,0,10,False,11,65,active,1,0,1,65
1670207546,1,0,0,12,False,3,66,active,1,0,1,66
1670218529,1,1,0,25,False,1,67,active,1,0,1,67
1670218281,1,0,0,13,False,6,68,active,1,0,1,68
1670212441,1,0,0,18,False,1,69,active,1,0,1,69
1670216087,1,3,0,15,False,5,70,active,1,0,1,70
1670218823,1,1,0,17,False,5,71,active,1,0,1,71
1670219267,1,0,0,2,False,21,72,active,1,0,1,72
1670218227,1,4,0,5,False,6,73,active,1,0,1,73
1670217322,1,0,0,5,False,14,74,active,1,0,1,74
